<Phenotype>,trait1,trait2,trait3
Sample1,17.50281055,15.1287151,19.89228975
Sample2,22.5974054,16.76877748,20.95449966
Sample3,19.01632405,25.61639021,15.02410658
Sample4,14.74694872,15.53191372,17.09569873
Sample5,14.61644612,10.37521829,13.54876684
Sample6,21.45467919,14.02318638,13.49755397
Sample7,28.18315995,20.62841453,20.72675853
Sample8,22.82936678,19.52150092,25.15923042
Sample9,11.71981901,16.38959687,23.14028871
Sample10,9.238337007,4.587411965,12.38874243
Sample11,17.54642379,21.99852262,16.93988098
Sample12,20.6126448,14.36358511,19.87943922
Sample13,12.80867167,12.09907767,7.118220679
Sample14,14.44440403,20.16643189,23.91505799
Sample15,12.19718839,16.90917124,12.2023403
Sample16,27.60964232,22.88974473,20.36273958
Sample17,24.66370193,26.23935992,20.33241396
Sample18,22.10865898,19.94917306,20.80070114
Sample19,18.07731942,13.88390993,17.52897242
Sample20,19.46259329,12.5263696,14.61849722
Sample21,18.21010745,12.10920947,13.06988556
Sample22,24.00866137,16.59729972,19.005702
Sample23,21.20105606,21.35923074,11.45848718
Sample24,23.72629226,27.00756275,22.63931913
Sample25,14.15149724,6.289454347,8.936954421
Sample26,28.74330421,26.36046606,21.74887951
Sample27,26.97177293,23.85517415,23.87606034
Sample28,19.17507867,18.39500384,13.25782017
Sample29,9.535943034,9.6250446,3.718517427
Sample30,16.27744656,14.02859701,10.94181806
Sample31,17.73333887,19.91344589,19.94922852
Sample32,23.79003784,19.67368718,17.32923668
Sample33,20.3850456,16.4477892,12.19975546
Sample34,18.10707637,24.63292572,19.86597649
Sample35,18.19827278,22.27071889,13.69551237
Sample36,25.35928795,22.4412201,23.50416676
Sample37,21.11652675,11.22978451,16.93520626
Sample38,15.25408857,18.09309731,11.4863484
Sample39,17.44892025,16.61324817,12.59706897
Sample40,15.37989328,16.58493843,15.36309511
Sample41,7.428011535,12.79320309,10.16959577
Sample42,20.63810157,15.26563917,17.70860291
Sample43,17.32733231,15.98659394,21.14019051
Sample44,6.766359756,16.53530355,17.15192689
Sample45,12.17477654,18.38411669,15.28881022
Sample46,16.04448805,18.85272096,18.65620533
Sample47,25.53800005,25.22702043,22.96872712
Sample48,14.55647466,15.9103232,13.91764881
Sample49,13.96616255,16.77700405,15.58091107
Sample50,15.24554686,19.57977942,17.34849094
Sample51,16.15534009,16.18910872,25.50855849
Sample52,15.31549843,13.09639501,12.8064309
Sample53,16.55295536,18.0314524,14.82338947
Sample54,14.22449519,22.2726824,19.47768292
Sample55,12.26385766,17.88699804,11.63354951
Sample56,17.82774641,22.54765063,15.60704309
Sample57,14.49101652,20.65097601,15.76406454
Sample58,15.80212834,15.06273577,15.88046441
Sample59,11.37981403,10.20104689,10.75135886
Sample60,20.6332228,18.50272776,21.62687585
Sample61,25.26114922,22.4477815,16.17340153
Sample62,15.11298378,14.08070953,10.44144247
Sample63,13.42749734,17.25814831,12.38755942
Sample64,10.31192899,20.96650676,9.285539369
Sample65,28.45144659,22.30670454,25.07371007
Sample66,10.60577306,11.29599594,10.27262717
Sample67,17.99889152,15.48912885,19.36885898
Sample68,23.01258295,16.36981707,19.55043352
Sample69,14.43070336,9.32976942,13.17812766
Sample70,11.37164382,5.460712153,10.70199418
Sample71,19.44169917,16.66131839,25.90686249
Sample72,10.39344878,12.04424505,13.39404247
Sample73,15.09980355,17.28114663,16.65797439
Sample74,23.292885,25.52188723,22.0755499
Sample75,24.11278138,24.19610934,21.78450839
Sample76,11.90554907,14.66827946,14.41347155
Sample77,14.80649484,22.23351769,15.29919276
Sample78,15.51621793,15.75880147,20.79040966
Sample79,16.95629482,20.72549295,20.65415942
Sample80,17.44691932,14.78588447,16.08977263
Sample81,17.43949836,16.815322,21.38877048
Sample82,19.31307944,16.6727796,18.28154416
Sample83,20.95203019,22.51686038,21.49373462
Sample84,23.37898135,17.04109836,19.5855258
Sample85,13.27350279,21.5194484,16.23865407
Sample86,9.165026187,13.69783964,8.329351346
Sample87,16.5967083,13.74128863,25.51892786
Sample88,9.802856782,8.200049904,10.06805242
Sample89,18.91421583,16.32063124,18.04909639
Sample90,17.29526884,14.85480607,12.33077726
Sample91,13.11274531,17.67986579,13.57547036
Sample92,17.884257,19.67868784,22.57885689
Sample93,12.56111714,11.93203042,8.934693635
Sample94,20.3175676,13.36631636,14.65276811
Sample95,14.57910068,18.82516002,14.79533466
Sample96,16.11337433,21.98892285,24.53916469
Sample97,11.690235,11.7595966,9.386747446
Sample98,20.76725114,8.17045543,16.43913923
Sample99,19.07361773,20.24157637,22.76797726
Sample100,17.9808111,18.43815196,21.22510836
Sample101,18.0343793,19.92748048,15.33145895
Sample102,19.40330601,30.88182834,28.12403819
Sample103,19.83221933,19.32627717,17.27841424
Sample104,10.08153154,14.48650633,17.94646091
Sample105,20.08094972,15.62675536,24.52717192
Sample106,9.586483432,13.34382089,7.129946597
Sample107,17.34688433,20.8837917,23.06623712
Sample108,6.416713491,9.586499987,13.56871755
Sample109,13.28779455,12.45848553,11.89334783
Sample110,21.58596784,24.66373018,24.05512677
Sample111,17.15892631,11.77593352,15.89658582
Sample112,16.88163167,20.78833357,19.87747167
Sample113,12.24175244,17.82845746,19.6180682
Sample114,20.89418646,16.61284436,21.38146993
Sample115,14.67594107,12.78127291,13.90753767
Sample116,24.23376316,25.85647188,23.90251267
Sample117,16.12039333,18.30335315,13.48007527
Sample118,15.80573676,17.50882771,13.18215216
Sample119,16.78932138,20.6735126,23.12305444
Sample120,22.18401548,14.52524979,20.88127464
Sample121,18.03301526,17.26828349,16.2615967
Sample122,14.5354872,19.02451542,15.80278426
Sample123,21.21103958,20.8305723,18.25027836
Sample124,20.06351123,10.52954147,14.24029606
Sample125,20.35883361,19.80237113,22.68786761
Sample126,14.11254061,13.83394258,19.42815283
Sample127,9.555180209,1.924267455,14.76780659
Sample128,20.13939815,9.805364133,11.22058158
Sample129,17.06307202,22.84091175,19.47966734
Sample130,14.77086309,18.66999293,17.19410117
Sample131,12.40137262,16.37465532,11.92599495
Sample132,14.49209222,13.53450317,17.94007062
Sample133,25.52477343,22.97510592,19.24167743
Sample134,14.7283438,14.54065832,14.32235531
Sample135,29.91787481,21.11642119,15.40093093
Sample136,17.75338092,20.5846477,16.99128694
Sample137,18.5361126,22.470272,15.48948737
Sample138,20.86222829,14.22633013,14.83013764
Sample139,13.76692699,14.40452487,17.20790396
Sample140,12.71097996,11.23905122,10.81459677
Sample141,17.07052525,15.29194643,25.10637112
Sample142,18.4094215,17.3425578,24.02844536
Sample143,14.61833337,14.85965708,13.13506872
Sample144,9.604399073,18.38107774,12.5190517
Sample145,19.8426696,25.28650951,17.86462905
Sample146,21.42840928,20.95911289,19.98144327
Sample147,21.40396383,18.27109684,20.22048065
Sample148,9.419009136,11.35452277,12.65399789
Sample149,14.50637918,14.81860614,18.33385092
Sample150,18.37799922,15.39901975,13.90450854
Sample151,21.9833547,21.85963534,19.49814722
Sample152,16.66753892,11.56012949,13.53905956
Sample153,14.84151113,7.976936522,8.30750883
Sample154,10.25355115,16.88122853,18.36584408
Sample155,16.96463635,14.19178108,19.1460653
Sample156,16.46033801,20.53961192,17.08525928
Sample157,14.17820171,13.86569504,10.80043918
Sample158,23.81173321,21.07141124,21.72992623
Sample159,15.45782058,15.21724783,11.12591
Sample160,18.56152572,16.60742406,16.07593964
Sample161,8.244402257,17.86705547,11.74251804
Sample162,19.16945013,24.90854158,20.25514326
Sample163,11.49357924,17.68409485,13.69419477
Sample164,19.20530146,11.44361971,13.97980158
Sample165,10.16049382,11.31704533,10.2614806
Sample166,12.17728854,18.33013021,10.74738154
Sample167,19.82959099,19.49598922,14.71873892
Sample168,19.95647538,15.42540188,13.79002606
Sample169,10.13903378,13.38571345,14.54696607
Sample170,19.68948055,19.00099924,17.87090467
Sample171,18.28574639,19.50247355,16.43920219
Sample172,17.93093716,19.35687101,16.01382038
Sample173,16.40654578,12.00544652,12.68224695
Sample174,20.98706087,23.55469126,22.36504611
Sample175,24.46672942,23.716581,22.7504062
Sample176,17.47598808,16.34689837,13.91540408
Sample177,13.25904125,8.112329237,13.45629541
Sample178,18.42690033,11.75912186,19.57231445
Sample179,19.6240766,13.93644703,16.86749664
Sample180,14.60900907,13.24215396,15.11835156
Sample181,22.59978937,23.6541183,27.228917
Sample182,12.53272648,12.92524237,13.14732418
Sample183,18.35835316,20.62747272,20.56573267
Sample184,17.00313531,21.71356181,24.62223165
Sample185,17.02986456,8.977809606,14.28388498
Sample186,19.21922397,17.9538451,22.87174601
Sample187,17.32098926,21.96728889,24.03035152
Sample188,15.04249988,16.2716916,16.8669552
Sample189,14.26971506,14.17790786,12.05558926
Sample190,13.97132197,16.58126462,15.14835168
Sample191,14.6756895,17.66989928,14.37894585
Sample192,19.5284479,20.78656809,13.83059502
Sample193,14.19552089,18.00753232,10.81792641
Sample194,13.18747292,14.89219138,11.41214299
Sample195,22.34155347,21.50555183,20.07476832
Sample196,17.20014153,15.80532141,17.65284204
Sample197,15.4687873,22.09798881,12.90603893
Sample198,21.49556764,19.97012765,22.65562306
Sample199,15.6522547,18.41489562,9.560116239
